Hs,Tp,Direction,damp_config,heave_std,pitch_std,roll_std,heave_max,pitch_max,roll_max
2.0,4.36,0,quadhigh,0.1271726363127939,1.717807207405154,0.0001178408428776,0.4243394248728399,5.904451299286452,0.001050961184036
2.0,4.36,45,quadhigh,0.1373243621195865,0.7769519489262077,1.199453264134584,0.4460183056013451,2.7500856791585644,4.632579893203574
2.0,4.36,90,quadhigh,0.1221512705575449,0.7598559416833042,0.7244280800974223,0.381039571793543,2.824351825074656,2.78150498348375
2.0,4.36,135,quadhigh,0.1336110388455294,0.5879022060178822,0.4019659374207706,0.4751834829115757,2.331629252174097,1.6883878629444866
2.0,4.36,180,quadhigh,0.1560987150196844,1.881835470071673,0.0001335349963034,0.5193722581082472,7.008633763861988,0.0011088065770143
4.0,4.36,0,quadhigh,0.2004257779866446,3.2508823747438256,0.000194393829506,0.6671994740733945,11.47760240658192,0.0012387356091071
4.0,4.36,45,quadhigh,0.2202128401691197,1.6051752822796264,2.449991452789879,0.6636438643137614,5.876287677034977,9.60345752558158
4.0,4.36,90,quadhigh,0.1863966584715562,1.587953760839726,1.5044938498219853,0.5762774037558723,6.168330593794335,5.85199627523042
4.0,4.36,135,quadhigh,0.2148795839059495,1.2451895976026035,0.8965753636974955,0.7162958508666467,5.316005431042236,3.979932641166489
4.0,4.36,180,quadhigh,0.2621629600337153,3.795863942048226,0.0002660712007499,0.8185602254852377,14.145401057088202,0.0015547659704215
2.0,6.540000000000001,0,quadhigh,0.3320989691275133,1.9956146468099725,0.000274224876581,0.965903223440279,7.087302873282737,0.0009253535458171
2.0,6.540000000000001,45,quadhigh,0.3656206896424173,1.3721760396376752,2.230889840610509,1.1838174089991855,5.479877897781641,8.696503521701114
2.0,6.540000000000001,90,quadhigh,0.3448609987667221,1.455238382463072,1.5267180876410582,1.081377432044584,5.17051216767049,6.24462416220949
2.0,6.540000000000001,135,quadhigh,0.358445347705031,0.8851852475134845,1.0086355444184194,1.1697589973972071,4.201761511891786,4.272916193750754
2.0,6.540000000000001,180,quadhigh,0.3866838237369289,2.9592034096301068,0.0003900136901537,1.26971319420678,12.517901445579152,0.0012056761979838
4.0,6.540000000000001,0,quadhigh,0.5096637268106363,3.507944307123944,0.0003479131565698,1.462375454300724,12.187103149443308,0.0018965779179255
4.0,6.540000000000001,45,quadhigh,0.5682173045587842,2.7585119977747894,4.341742454108671,1.8210073640795463,10.07597724969537,16.757699201056667
4.0,6.540000000000001,90,quadhigh,0.536328432120819,2.605097632897138,3.3323687162090136,1.6482760923386486,8.410906759353225,14.015129777085228
4.0,6.540000000000001,135,quadhigh,0.5649431537975097,2.002599728502345,2.1340075703125434,1.7603883751659968,8.961391952754937,9.221978355621774
4.0,6.540000000000001,180,quadhigh,0.5982896755927372,5.817031291196889,0.0005366433760362,1.806466688905304,22.325458685399514,0.0020744362559919
2.0,8.72,0,quadhigh,0.4258217719813929,1.753630671537155,0.0003023868030182,1.3750096511732308,6.366501554035652,0.0010050027463306
2.0,8.72,45,quadhigh,0.4609192213600195,1.3518566948293602,2.1889797041007464,1.5611249385097798,4.704084205515247,8.401778226793304
2.0,8.72,90,quadhigh,0.4451575361335503,1.3573890290898811,1.6394383298042046,1.4771811236450354,4.524553188172992,6.192270151044259
2.0,8.72,135,quadhigh,0.4517728912822775,0.8330139096399428,1.1441271376540405,1.499086289834803,3.5822631187286333,4.511838980368752
2.0,8.72,180,quadhigh,0.4772001991934887,2.726067084128782,0.0004099003394195,1.615303305305139,10.27968911286785,0.0011843573153849
4.0,8.72,0,quadhigh,0.7116520457168675,3.141626566595461,0.0004159309289046,2.1530995605025667,11.64183474425518,0.0014509369859745
4.0,8.72,45,quadhigh,0.7780640782794572,2.7008848468077797,4.296269615237657,2.48484096797268,10.190385755652494,16.922592673035865
4.0,8.72,90,quadhigh,0.7493102691542828,2.3886132882980045,3.416027907484459,2.271372954140571,8.286832390831112,13.917192255698248
4.0,8.72,135,quadhigh,0.7592287486224852,1.891940964567025,2.32033622634892,2.35780875604895,8.229257488068745,9.392258164077186
4.0,8.72,180,quadhigh,0.7986891915807874,5.455548565620704,0.0006010970164553,2.603920807154001,21.480390442112096,0.001991122842379
2.0,10.9,0,quadhigh,0.4607460645069952,1.3435112164885374,0.0002577664087885,1.4211073035980322,5.066823956071159,0.0010733006493408
2.0,10.9,45,quadhigh,0.489534723421862,1.0595147744315143,1.7456905837768135,1.6225228873384503,5.054487850911459,7.450159691049315
2.0,10.9,90,quadhigh,0.4785789098409189,1.0718694685173653,1.3543711535208187,1.5335654751885386,4.312557702022794,6.066188829578967
2.0,10.9,135,quadhigh,0.4832396994991415,0.6469339311218396,0.9795335354127492,1.5502981815717196,3.338544293694347,4.206050153306213
2.0,10.9,180,quadhigh,0.5025455118736926,2.09310594307686,0.0003406740591084,1.6839247017494572,9.120627225273566,0.0016371590358739
4.0,10.9,0,quadhigh,0.8163485872721948,2.43649805336724,0.0004108371692998,2.368723398687957,8.635469541364397,0.0020121776976657
4.0,10.9,45,quadhigh,0.8780342859708199,2.101549791664586,3.47414422388343,2.720285570465865,10.124901729265314,15.118286445329694
4.0,10.9,90,quadhigh,0.8521214174671567,1.957726127384605,2.781161999789845,2.5509983975860626,7.403450375023689,13.02173684033769
