,mean,std,min,max,skewness,kurtosis,normaltest_stat,p_value,normaal_bij_alpha=0.05,best_dist,AIC_best,AIC_norm,delta_AIC_(norm-best)
Hs8_Tp9_low_v_pitch,-1.5439599499053167e-06,0.15403688453778513,-0.4866814017295837,0.6172626614570618,0.09696095576178623,-0.1921540768736909,186.00587091447403,4.067600856571635e-41,False,gennorm,-48864.378842861144,-48773.3667606479,91.01208221324487
Hs8_Tp9_low_v_roll,6.530355175530494e-07,2.0745129945352746e-05,-0.0005769928102381,0.0003948346711695,-0.8971270557466139,83.1136156934366,25643.816778441214,0.0,False,t,-1068816.1760641094,-1011355.8632925772,57460.31277153222
Hs8_Tp9_linhigh_v_Z,0.044408847557694774,1.1313112853650404,-4.852063150959372,4.812574223813851,-0.235379066369054,0.9103571817272931,1400.2807991752761,8.56816658410616e-305,False,logistic,165107.1262199366,166576.20427176522,1469.0780518286338
Hs8_Tp9_linhigh_v_pitch,-1.1427462380952418e-06,0.14931116564651895,-0.4729074835777282,0.6027181148529053,0.11126087009795244,-0.16462001711579966,183.1086591604397,1.7316490100926821e-40,False,skewnorm,-52233.39849833172,-52138.66537490944,94.73312342228019
Hs8_Tp9_linhigh_v_roll,1.104110834500582e-06,1.765675704798287e-05,-0.0004783572512678,0.0004828587116207,0.5566410444194188,93.49264580731804,23189.656742877414,0.0,False,t,-1076966.3758655249,-1028765.0266550612,48201.3492104637
Hs8_Tp9_quadhigh_v_Z,0.04422410167367048,1.127896785986924,-4.589465471990319,4.642982242832959,-0.21308135518578725,0.733027036625217,1065.6530946042756,3.947941376226125e-232,False,logistic,165207.24509455467,166249.74205051185,1042.4969559571764
Hs8_Tp9_quadhigh_v_pitch,-1.2274960105972834e-06,0.14758201438191118,-0.4570819735527038,0.5847224593162537,0.11716927149082158,-0.22030241314052113,261.0183612027696,2.092102830756176e-57,False,gennorm,-53529.3239550903,-53396.71991488029,132.6040402100116
Hs8_Tp9_quadhigh_v_roll,6.304603405684137e-07,1.4876410399412314e-05,-0.0002363306412007,0.0002833556500263,0.6259903830226654,41.740396848322064,19961.964255706167,0.0,False,t,-1078988.6851686058,-1047270.2817937775,31718.40337482828
Hs8_Tp9_DOFbest_v_Z,0.04428900392007533,1.1329201850557984,-4.7427455723466885,4.747317312070239,-0.22455435534843513,0.8301511524422467,1243.63706348058,8.864268858871631e-271,False,logistic,165450.26796979504,166729.69071157195,1279.4227417769143
Hs8_Tp9_DOFbest_v_pitch,-1.2035489510151674e-06,0.14876916473163987,-0.466869443655014,0.5949109196662903,0.11348735424789116,-0.18897988110496433,213.27522877752676,4.873853912587185e-47,False,skewnorm,-52628.965608881714,-52531.426931818045,97.53867706366873
Hs8_Tp9_DOFbest_v_roll,5.544806624892799e-07,1.665707732688624e-05,-0.0004257925611454,0.0003265142440795,-1.3785435983994905,69.11680031112644,29462.344615969516,0.0,False,t,-1078381.0630696819,-1035059.7455516544,43321.3175180275
