Hs,Tp,Direction,damp_config,heave_std,pitch_std,roll_std,heave_max,pitch_max,roll_max
2.0,4.58,0,linhigh,0.1398914484432731,1.7600370205923082,0.00012020708072159316,0.4698488600681777,6.112992991416062,0.0007810399207758753
2.0,4.58,45,linhigh,0.15213020739186645,0.8102104523293584,1.2808568825896984,0.4950635194869505,2.9166713461902036,4.993527670460244
2.0,4.58,90,linhigh,0.13631819482240629,0.8378200946699705,0.7583249650642556,0.4286734422417703,2.9747308526559997,3.0157867350514675
2.0,4.58,135,linhigh,0.14751517367678707,0.5978389971550869,0.42751548482820734,0.5176648142448178,2.3255799921503373,1.8602074232187977
2.0,4.58,180,linhigh,0.1711199213097926,1.9785256020732573,0.00014116404953048452,0.5663218463181897,7.3653398183377865,0.0005705310119986887
1.0,3.58,0,quadhigh,0.0290387996626244,0.7150975797774685,2.912030581622488e-05,0.10934520214520116,2.846464787661611,0.00019052946114079248
1.0,3.58,45,quadhigh,0.02470679544691305,0.30434497334463395,0.42441767752651754,0.08966251782465862,1.36491828319059,1.78130996397933
1.0,3.58,90,quadhigh,0.01868933130445768,0.212816709700105,0.3074710055809556,0.06455969313559706,0.8421769341514704,1.3307090465607263
1.0,3.58,135,quadhigh,0.024837796059450554,0.2618383890859154,0.16095826517304165,0.09707630582705695,1.0901227285282324,0.6978556826531024
1.0,3.58,180,quadhigh,0.03321518653637221,0.7244422905418098,2.64786544746075e-05,0.12212840105041312,3.0461547515175877,0.00015468530978122552
1.0,4.08,0,quadhigh,0.053589534759450386,0.8234746026320253,5.2864224416358076e-05,0.191391013963355,3.7069420995252838,0.00027731834906413754
1.0,4.08,45,quadhigh,0.056349995508167994,0.35697407827317057,0.5319692229664503,0.19192438404758771,1.7419042244484588,2.526986573748858
1.0,4.08,90,quadhigh,0.04938523985250521,0.32222363233465795,0.3349900619567879,0.1561830111637159,1.4271642856851292,1.2873277400098313
1.0,4.08,135,quadhigh,0.05243804773302335,0.28483387086814427,0.17782062223511003,0.1930902601287321,1.192555083047568,0.7368472886464055
1.0,4.08,180,quadhigh,0.0643565457450679,0.8571902796310208,5.107806064654664e-05,0.23256367832146307,3.830337069817232,0.0002154443980328408
1.0,4.58,0,quadhigh,0.09156312108052081,0.9040722051024853,8.302215196199815e-05,0.326622247500552,3.240301570136796,0.0003354986076048556
1.0,4.58,45,quadhigh,0.1000937417669243,0.4014012981701583,0.6300193041453618,0.340998151253219,1.3816959183789335,2.4812609613167345
1.0,4.58,90,quadhigh,0.09278824736333922,0.4226737511845992,0.3765323858738904,0.2912552981807126,1.5655297566316662,1.4442858286018045
1.0,4.58,135,quadhigh,0.09511639721160049,0.29489069857146627,0.20524772794042923,0.3443748379233811,1.2101710688105656,0.8353580373908425
1.0,4.58,180,quadhigh,0.10840012648969762,0.9757282595967879,9.139241858118392e-05,0.3811470638353516,3.7507412177538373,0.0003650021021661424
2.0,3.58,0,quadhigh,0.05426862208546833,1.4227543417229198,7.686435395030444e-05,0.22379014834485678,5.528977286466274,0.00046448424704937557
2.0,3.58,45,quadhigh,0.04708672507417915,0.6115160605843288,0.8458695575658355,0.17466782224454258,2.7112774857311934,3.67781219571068
2.0,3.58,90,quadhigh,0.03398417744774513,0.42704063024669103,0.6172115241195312,0.12581077469333457,1.7539233340685954,2.8060916832100493
2.0,3.58,135,quadhigh,0.04916772699918795,0.5155951501529838,0.32781593719481755,0.18394868036000822,2.216701947768073,1.3988635902395476
2.0,3.58,180,quadhigh,0.06577083559632708,1.4513233370659329,7.094776769022312e-05,0.25470619820941376,6.100616321176741,0.0005550324476768507
2.0,4.08,0,quadhigh,0.09449013429598653,1.6286089159644133,9.821003274270122e-05,0.32044914681216086,7.111531748590037,0.0004743651604317185
2.0,4.08,45,quadhigh,0.09883824893754478,0.7204796382433163,1.069237651851277,0.3214005222546834,3.638004620549163,4.875687645886352
2.0,4.08,90,quadhigh,0.08447705862697645,0.6382293450712855,0.6763709439321751,0.2685534250736237,2.9640069240312314,2.530373109868599
2.0,4.08,135,quadhigh,0.09629660221109457,0.5669155856435374,0.36791630662268376,0.34114757510798954,2.5415790752453624,1.5717027788594802
2.0,4.08,180,quadhigh,0.11798779350529788,1.726639992861366,0.00010211034022686899,0.40175052467264516,7.854015239174101,0.00044405412295501524
