filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,Std Z,Std pitch,Std roll,Mean Z,Mean pitch,Mean roll,MPM Z,MPM pitch,MPM roll,Mean velocity Z,Mean velocity pitch,Mean velocity roll,std velocity Z,std velocity pitch,std velocity roll
ymlfiles\Case_196_H1_T9p5_dir135_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,9.5,7.3643,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.25367420723519646,0.5899670841181588,0.47018849042029354,-0.15339822334157577,0.6829576746359459,0.00203301464391721,0.8071044003184065,2.9216398243955153,1.7808990997255836,-0.000868230926432616,-1.1518946247968626e-05,-1.0245744321151322e-05,0.18885974057324528,0.008105413811611598,0.00600071919875945
ymlfiles\Case_197_H1_T9p5_dir180_heavelow_pitchlow_rolllow.yml,1,9.5,7.3643,180,low,low,low,1.0,1.0,100,300.0,150,200,0.2664108338621648,1.2923663372761232,0.00029327306020796793,-0.15343245684295762,0.6743131222441192,-0.0023456499338933116,0.8562101770557681,5.59176805245293,-0.0012304175215159662,-0.0014512555482987838,1.213286633860127e-06,1.9500433900472734e-08,0.2014080654811447,0.01846744260420607,4.104134520263476e-06
ymlfiles\Case_198_H1_T9p5_dir180_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,9.5,7.3643,180,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.2584912429920253,1.2043423900552155,0.0002612555826790919,-0.15331939131757016,0.6755986808132217,-0.002344638609255766,0.8256849173579612,5.259263017897894,-0.0013507623344517256,-0.0013588933536158767,9.96046820294771e-07,1.800092982760386e-08,0.19313111651204273,0.01726507231464223,3.6681187283215246e-06
ymlfiles\Case_199_H1_T9p5_dir180_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,9.5,7.3643,180,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.26513209478608246,1.2754899116927498,0.0002928824126778056,-0.15342006942959166,0.6745802774496318,-0.002345509124528706,0.8511630907392033,5.527338395316914,-0.0012317064418948152,-0.0014341947488229732,1.1830348393641848e-06,1.918041303610751e-08,0.2000598879527199,0.01823652464654547,4.097174057037054e-06
ymlfiles\Case_200_H1_T9p5_dir180_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,9.5,7.3643,180,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.2625011768941736,1.23433589892389,0.0002725983686175247,-0.1533528467866353,0.6750663667125859,-0.002345108366327977,0.8410499007052882,5.3728784255071425,-0.0013082883492354712,-0.0013924766352032404,1.074757796886637e-06,1.853948940893432e-08,0.19728329930208796,0.017674309354287602,3.823706100593031e-06
ymlfiles\Case_201_H1_T10_dir0_heavelow_pitchlow_rolllow.yml,1,10.0,7.7519,0,low,low,low,1.0,1.0,100,300.0,150,200,0.24550876721279977,0.685865926311411,0.00029026412284514696,-0.15285939699592105,0.6677192725491773,-0.002349559786254795,0.7750801610700335,3.2764372806917303,-0.0012490390798704414,-0.001612803616194415,1.142259368209162e-06,1.0489283002972526e-08,0.18043817768894047,0.009885608776429806,3.960648352842819e-06
ymlfiles\Case_202_H1_T10_dir0_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,10.0,7.7519,0,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.23889167711063092,0.656202177765583,0.0002675210715139593,-0.15287967829194776,0.6672381537268235,-0.0023493766725880484,0.7492433660907298,3.1647381786594515,-0.0013346580990169527,-0.0015909158751364143,1.2025088590663004e-06,1.0252160691226449e-08,0.17366350280253098,0.009484603217512846,3.6367122435819814e-06
ymlfiles\Case_203_H1_T10_dir0_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,10.0,7.7519,0,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.24459346358722117,0.6831915727126685,0.0002887789806759655,-0.15286438055643037,0.6676775633072162,-0.002348016992537526,0.7716156414145082,3.266353295527847,-0.0012526104737617192,-0.0016106823934240915,1.1487283012862198e-06,1.0976146550506228e-08,0.17949918058945644,0.00984904982873065,3.9364178818784715e-06
ymlfiles\Case_204_H1_T10_dir0_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,10.0,7.7519,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.2422664704998108,0.6668751151415167,0.00026928203768207683,-0.15285905200329145,0.6674712410512714,-0.0023484899310584864,0.762520450978107,3.2052156725490786,-0.0013269865831479195,-0.0015995696310075653,1.1778488114692663e-06,1.063307308278266e-08,0.17709727062168923,0.009629165115559564,3.689182368991992e-06
ymlfiles\Case_205_H1_T10_dir45_heavelow_pitchlow_rolllow.yml,1,10.0,7.7519,45,low,low,low,1.0,1.0,100,300.0,150,200,0.2582273119458385,0.5121081561503076,0.8406576710689232,-0.15360884980515385,0.6706483853575147,-0.002499572695850433,0.8229411348378819,2.617092517034345,3.1899518127824558,-0.0011146970145803354,-1.0333530971684539e-05,2.220187325318705e-06,0.19092967072886124,0.007083761993319833,0.011396811688081583
ymlfiles\Case_206_H1_T10_dir45_heavelinhigh_pitchlinhigh_rolllinhigh.yml,1,10.0,7.7519,45,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.2512719825485931,0.46995101318926513,0.771901055665203,-0.153521377702308,0.670799622174059,-0.002342957114382616,0.7957243938925075,2.4572813906750475,2.929900028200593,-0.0010321506680440666,-1.0575803962617948e-05,1.379484154090063e-06,0.1836280508641951,0.0064994916740142746,0.010501215861233957
ymlfiles\Case_207_H1_T10_dir45_heavequadhigh_pitchquadhigh_rollquadhigh.yml,1,10.0,7.7519,45,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.25717691951362914,0.5084282400671154,0.8336736994092707,-0.15361984850475366,0.6707313876525267,-0.0025170133171879797,0.8189578192450236,2.603286327919685,3.1637365422958634,-0.0011061733868025793,-1.0347907796575719e-05,2.177511675588584e-06,0.18982501177936525,0.007033276788558102,0.011306152944758507
ymlfiles\Case_208_H1_T10_dir45_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,1,10.0,7.7519,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.254823095686389,0.4867875613653864,0.7937302453242474,-0.15354788897071295,0.6706623946419051,-0.002217480446092289,0.8097565980896795,2.5208668501140643,3.0135627165805046,-0.0010625804059208482,-1.053674314773722e-05,1.6688613107384989e-06,0.18733086143959418,0.00673173188564879,0.01078541903227784
