filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,std Z,std pitch,std roll,max Z,max pitch,max roll,mean Z,mean pitch,mean roll,MPM Z,MPM pitch,MPM roll
ymlfiles\Case_288_H2_T458_dir90_quadhigh.yml,2,4.58,3.2482,90,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.14890885461327377,0.8505262763254661,0.7706159732730371,-0.48125213384628296,3.3198066158955277,3.0629605538083715,-0.9400006743964774,0.2967494178522051,-0.007276922936821902,-0.3621642175186671,3.6319917230710748,3.0523400562438745
ymlfiles\Case_289_H2_T458_dir135_quadhigh.yml,2,4.58,3.2482,135,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.16091323045846456,0.6056578258092088,0.43592291980494663,-0.38861018419265747,2.680920539329467,1.9045367783555256,-0.9377751763002188,0.31041463780400597,0.002100944641218874,-0.3114127282415923,2.7182190887811863,1.7297536133550149
ymlfiles\Case_290_H2_T458_dir180_quadhigh.yml,2,4.58,3.2482,180,quadhigh,quadhigh,quadhigh,1,4,100,1300,150,1300,0.18461618066258675,1.9984074947518908,0.00015735487089093108,-0.3434523940086365,7.734125433076211,-0.0013767105256827742,-0.9407191668765412,0.30933285427174156,-0.0020342686142906727,-0.22074894086811847,8.206943268205881,-0.0014204724762800953
ymlfiles\Case_291_H1_T358_dir0_DOFbest.yml,1,3.58,2.539,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.02845913584725185,0.7133848010402991,2.7607742676003847e-05,-0.8315717577934265,3.145699544423202,-0.001911654847659357,-0.939830511983898,0.3058917203663335,-0.002047850918218374,-0.8271184460660311,3.1625281826041594,-0.0019377342224388403
ymlfiles\Case_292_H1_T358_dir45_DOFbest.yml,1,3.58,2.539,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.023996429421824325,0.30344225359231225,0.4230387401952843,-0.8520256280899048,1.6684425385141606,1.773897991256513,-0.9395617524573097,0.3076258004777872,-0.0016836125696030912,-0.8447738367742987,1.5215786145386108,1.6857173611020522
ymlfiles\Case_293_H1_T358_dir90_DOFbest.yml,1,3.58,2.539,90,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.017853242391438335,0.21172928455967674,0.3066520718602923,-0.8767175078392029,1.1435597897150174,1.3273402233210794,-0.9395616119978605,0.3042300200753129,-0.002474425062745732,-0.8693909178183021,1.142571882957496,1.2364646774772365
ymlfiles\Case_294_H1_T358_dir135_DOFbest.yml,1,3.58,2.539,135,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.024205065569450263,0.2612547944146619,0.1604731250217067,-0.8447081446647644,1.3952275011942459,0.6913727719647296,-0.939032380471627,0.3052551016492169,-0.0010124371118764078,-0.843109204038202,1.354187577365266,0.647365023822233
ymlfiles\Case_295_H1_T358_dir180_DOFbest.yml,1,3.58,2.539,180,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.03243801826443373,0.7228147739153058,2.5541853887414886e-05,-0.8197875022888184,3.3516342302107294,-0.0018927425941262272,-0.939973924725144,0.3058271897518896,-0.0020466535241425656,-0.8114242938799132,3.198612756467345,-0.0019453953110913575
ymlfiles\Case_296_H1_T408_dir0_DOFbest.yml,1,4.08,2.8936,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.05140062842219232,0.8208721810251992,4.864955958930925e-05,-0.7544355988502502,4.010877472154601,-0.0018150081294735063,-0.9394867004045734,0.30635565032692114,-0.002048665719410221,-0.7377104642994763,3.577190702841785,-0.0018566677555554366
ymlfiles\Case_297_H1_T408_dir45_DOFbest.yml,1,4.08,2.8936,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.053541784099410954,0.3554991832154755,0.5294119500393335,-0.7554089426994324,2.050402725157141,2.5165180994506713,-0.9393003497946042,0.3096651451159359,-0.00047055284334243886,-0.7300393615964907,1.7244762964191485,2.1004761769347757
