sea_key,Hs_m,Tp_s,direction_deg,wave_type,case,heave_option,pitch_option,roll_option,response,status,mean,std,rms,max_abs,ptp,amplitude,minimum,maximum
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_06,low,linhigh,quadhigh,roll,ok,-0.002944938841429855,0.024298113965104187,0.024475927092573086,0.06439659764004049,0.11865470993706934,0.05932735496853467,-0.06439659764004049,0.05425811229702884
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_07,low,quadhigh,low,heave,ok,-0.390025889514928,1.1903811707658343,1.2526482052858052,2.4540131092071533,3.5689395666122437,1.7844697833061218,-2.4540131092071533,1.1149264574050903
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_07,low,quadhigh,low,pitch,ok,-0.6367594430979573,8.928126723516863,8.950804957072318,13.011480486796671,25.312516285753528,12.656258142876764,-13.011480486796671,12.301035798956857
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_07,low,quadhigh,low,roll,ok,-0.002066215990128476,0.015969950312659766,0.01610306062544274,0.03732258821386281,0.06625300170178897,0.03312650085089448,-0.03732258821386281,0.028930413487926156
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_08,low,quadhigh,linhigh,heave,ok,-0.39008513237169473,1.1904916449638616,1.2527716341082293,2.4543497562408447,3.5692297220230103,1.7846148610115051,-2.4543497562408447,1.1148799657821655
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_08,low,quadhigh,linhigh,pitch,ok,-0.6367763718555353,8.928062422786615,8.950742023593794,13.005874609035384,25.29997947353197,12.649989736765985,-13.005874609035384,12.294104864496587
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_08,low,quadhigh,linhigh,roll,ok,-0.0016024903662973007,0.021389054724642077,0.02144900084824021,0.048014915854187205,0.09057677275965886,0.04528838637982943,-0.048014915854187205,0.042561856905471665
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_09,low,quadhigh,quadhigh,heave,ok,-0.3900868730679429,1.190501820214263,1.2527818455235529,2.4540257453918457,3.5687103271484375,1.7843551635742188,-2.4540257453918457,1.1146845817565918
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_09,low,quadhigh,quadhigh,pitch,ok,-0.6367354169497752,8.92848817027913,8.951163778973802,13.006195627926374,25.302288077471434,12.651144038735717,-13.006195627926374,12.29609244954506
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_09,low,quadhigh,quadhigh,roll,ok,-0.0020523560001321694,0.017455641660152278,0.01757588094289792,0.036458262458952076,0.07015710181279255,0.03507855090639628,-0.036458262458952076,0.03369883935384048
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_10,linhigh,low,low,heave,ok,-0.38880039442832887,1.1623988984056381,1.2256985541813554,2.3947699069976807,3.516174554824829,1.7580872774124146,-2.3947699069976807,1.1214046478271484
Hs4_Tp8_Dirmodel,4.0,8.0,,Dean stream,case_10,linhigh,low,low,pitch,ok,-0.697112520281262,9.812765710361969,9.83749646771924,14.257213930079557,27.92306325163024,13.96153162581512,-14.257213930079557,13.665849321550683
