filename,Hs,Tp,Tz,Direction,Damp_Heave,Damp_Roll,Damp_Pitch,Lin_Heave,Quad_Heave,Lin_Roll,Quad_Roll,Lin_Pitch,Quad_Pitch,Std Z,Std pitch,Std roll,Mean Z,Mean pitch,Mean roll,MPM Z,MPM pitch,MPM roll
ymlfiles\Case_321_H2_T5_dir0_heavelow_pitchlow_rolllow.yml,2,5.0,3.876,0,low,low,low,1.0,1.0,100,300.0,150,200,0.14697870553791137,1.308615923266274,0.000172926803023665,-0.15908024508302787,0.660447960819489,-0.002334280780341953,0.41042647343203786,5.83753455791622,-0.001668271852709917
ymlfiles\Case_322_H2_T5_dir0_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,5.0,3.876,0,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.13571529488064815,1.2967535619393096,0.00014222329748815046,-0.15955191560640353,0.6611067679799585,-0.0023358365160458952,0.36654195643824045,5.792309898365412,-0.0017881876640931814
ymlfiles\Case_323_H2_T5_dir0_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,5.0,3.876,0,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.14552068081156383,1.3049101743117315,0.00016319858715602365,-0.1591355743989554,0.6604413218158925,-0.002338388704711482,0.40474228225958997,5.823394072807178,-0.0017105940836327437
ymlfiles\Case_324_H2_T5_dir0_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,5.0,3.876,0,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.14144962973390565,1.3004734923210386,0.00017440698334243832,-0.15925874505157875,0.6607048218628392,-0.002339828297289155,0.38896426839589426,5.806365688415813,-0.0016686403273161387
ymlfiles\Case_325_H2_T5_dir45_heavelow_pitchlow_rolllow.yml,2,5.0,3.876,45,low,low,low,1.0,1.0,100,300.0,150,200,0.17080411755683508,0.60897635645739,0.9610694613603955,-0.1604880493522524,0.6764150833223013,0.024635267098724715,0.5019119516286523,3.085432088446825,3.8072263345874586
ymlfiles\Case_326_H2_T5_dir45_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,5.0,3.876,45,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.1571942782989056,0.5993560144303772,0.9461889892992957,-0.1606739649624533,0.6769061245912831,0.024585480466233715,0.44890136753869153,3.0481692340562194,3.7495444762618257
ymlfiles\Case_327_H2_T5_dir45_heavequadhigh_pitchquadhigh_rollquadhigh.yml,2,5.0,3.876,45,quadhigh,quadhigh,quadhigh,1.0,4.0,100,1300.0,150,1300,0.168765524488184,0.6074059126411889,0.9584541115818846,-0.16051703475935877,0.6765530268730611,0.024724098861170503,0.4939770441045055,3.0793575972803664,3.797127031049063
ymlfiles\Case_328_H2_T5_dir45_heaveDOFbest_pitchDOFbest_rollDOFbest.yml,2,5.0,3.876,45,DOFbest,DOFbest,DOFbest,3.3,2.4,233,304.5,248,640,0.16405846554409356,0.6030231198979281,0.9514616106191138,-0.1605708474196021,0.6766729544094281,0.024620354450190427,0.4755997773771436,3.062444422353064,3.769605910441975
ymlfiles\Case_329_H2_T5_dir90_heavelow_pitchlow_rolllow.yml,2,5.0,3.876,90,low,low,low,1.0,1.0,100,300.0,150,200,0.15846354413292976,0.5814679179206743,0.4136477168247359,-0.15944168475855414,0.6651024196641806,0.0114699237131606,0.4538622402707585,2.941279717730514,1.6563397844169734
ymlfiles\Case_330_H2_T5_dir90_heavelinhigh_pitchlinhigh_rolllinhigh.yml,2,5.0,3.876,90,linhigh,linhigh,linhigh,6.5,1.0,300,300.0,325,200,0.14552063029710408,0.5709358332886495,0.4044396340368086,-0.15956577407691364,0.6655803467937826,0.011024223533421307,0.40370728765181896,2.90128268526387,1.6206164337910376
